hour,vS,sumP,u0,winners
8,2970.758009236848,1540.6887628745035,1430.0692463623445,7
9,2517.5149443909895,1281.2855527891911,1236.2293916017984,6
10,2709.167900182735,1332.691836848267,1376.476063334468,6
11,2717.270821204827,1691.7521379521254,1025.5186832527015,6
12,2613.150086819878,1280.9935437137176,1332.1565431061606,7
13,4750.387981537026,2913.6326014924266,1836.755380044599,10
14,3340.786510327944,1766.7636359864389,1574.0228743415053,9
15,3068.7187449865723,1823.602762487998,1245.1159824985743,7
16,3614.433534404703,2189.58761708718,1424.845917317523,8
17,2802.6975822566133,1510.679724939306,1292.0178573173073,7
18,2429.859147936929,1225.8006336659646,1204.0585142709642,5
19,2287.919379852897,1300.3947249597943,987.5246548931025,6
